kraje,meat,pork,beef,poultry,populacja(mln),uwagi
USA,107,30,26,51,331.9,jedznie na wynos skrzydełka itp
Izrael,90.5,1.3,20,64.5,9.36,religia - judaizm
Australia,89.3,20,19.5,44,25.69,bardzo duże spożycie mięsa
Argentyna,110,20,42,48,45.8,bardzo duże spożycie mięsa
Chile,86.4,27,22.4,37,19.49,-||-
Brazylia,78.5,18.5,40,20,214.3, 
Nigeria,5,2,2,1,213.4,bardzo małe spożycie mięsa
Indie,3.7,1,0.2,2.5,1408,nie jedzą wołowiny (hinduizm)
Etiopia,3.1,2,0.55,0.55,120.3,naprawdę małe spożycie mięsa
UE,69.8,33.5,10.6,24.3,447.7,wartości średnie
Chiny,45.1,23.7,1.4,20,1412,
Indonezja,31,5,1,22,273.8
Bangladesz,11,3,4,3,169.4,bardzo biedny kraj
Rosja,80,31,49,0,143.4
Meksyk,80,30,0,50,126.7
Kanada,100,21,25.5,50,38.25
Niemcy,54.5,31,9.4,13.1,83.2
Ukraina,21,15,6,0,47.79
Francja,85,16,5,64,67.75
Hiszpania,50,10,5,30,477.42