Produkt,zuzycie_wody_na_kg,Energia(kcal),Bialko,Tluszcze,Weglowodany
Abaca fibre,22654,322.0,8.47,1.69,77.97
Agave fibres,6549,310,0.09,0.45,76.4
"Almonds, shelled or peeled",16095,508,6.5,28.6,56.2
"Almonds, with shell",8047,508,6.5,28.6,56.2
Anise,8280,337.0,17.6,15.9,50.02
Apple juice,1141,46.0,0.0,0.0,11.67
"Apples, dried",6847,243,0.93,0.32,65.9
"Apples, fresh",822,23.0,3.15,0.64,2.65
Apricots,1287,250.0,2.5,0.0,62.5
Areca nuts,11165,0,17.4423,38.86,36.2887
Artichokes,818,50.0,3.33,0.0,10.83
Asparagus,2150,18.0,2.35,0.0,3.53
Avocados,1981,167.0,3.33,15.0,10.0
Badian,8280,121.0,5.88,1.76,20.0
Bananas,790,346.0,3.89,1.81,88.28
Barley,1423,139,2.2,2.74,27.2
"Barley, rolled or flaked grains",1977,139,2.2,2.74,27.2
"Beans, dry",5053,0,24.4,1.45,0
"Beans, green",561,50.0,1.88,2.18,6.8
Beef,15415,129.0,20.0,5.88,0.0
Beer,298,43.0,0.46,0.0,3.55
Blueberries,845,50.0,0.71,0.71,12.14
Bread (wheat),1608,274.0,10.67,4.53,47.54
"Broad beans, dry",2018,0,24.4,1.45,0
Broccoli,285,24.0,2.35,0.0,4.71
Brussels sprouts,285,41.0,3.53,0.0,9.41
Buckwheat,3142,343.0,13.25,3.4,71.5
Butter,5553,714.0,0.0,78.57,0.0
Cabbages,280,15.0,1.1,0.5,2.4
Cane molasses,527,290.0,0.0,0.0,61.9
Cardamoms,34319,311.0,10.76,6.7,68.47
Carobs,5594,222.0,4.62,0.65,88.88
Carrots,195,38.0,1.28,0.0,8.97
Cashew apple,3793,609,12.1,53.0,30.3
Cashew nuts,14218,679.0,21.43,57.14,35.71
Cassava,564,0,0.56,0.0,35.0
Cassava flour,1878,343.0,0.0,0.0,88.57
Cassava starch,2254,191,1.42,3.03,39.6
"Cassava, dried",1610,191,1.42,3.03,39.6
"Cassava, tapioca",2818,191,1.42,3.03,39.6
Castor oil,24740,0,0,0,0
Castor oil seeds,9896,592.0,20.06,51.3,22.89
Cauliflowers,285,218,4.02,12.9,21.9
Cheese,5060,367.0,16.67,33.33,3.33
Cherries,1604,83.0,0.0,0.0,33.33
Chestnuts,2750,245,3.17,2.2,53.0
Chick peas,4177,72.0,4.3,1.3,8.6
Chicken meat,4325,146.0,14.0,9.6,0.0
"Chillies and peppers, dry",7365,567.0,13.33,56.67,20.0
"Chillies and peppers, green",379,44.0,0.88,2.82,4.68
Chocolate,17196,514.0,5.71,37.14,54.29
Cinnamon,15526,0.0,0.0,0.0,0.0
Clementine,748,47.0,0.68,0.0,12.16
Cloves,61205,274.0,5.97,13.0,65.53
Cocoa beans,19928,228,19.6,13.7,57.9
"Cocoa butter, fat and oil",33938,884.0,0.0,100.0,0.0
Cocoa paste,24238,458,9.0,27.7,47.8
Cocoa powder,15636,250.0,25.0,12.5,50.0
Coconut fibre,2449,31.0,0.21,2.08,2.92
Coconut oil,4490,895,0.0,99.1,0.84
"Coconuts, dehusked",2687,31.0,0.21,2.08,2.92
"Coconuts, with husk",1256,31.0,0.21,2.08,2.92
"Coffee, green",15897,1.0,0.12,0.02,0.0
"Coffee, roasted",18925,1.0,0.12,0.02,0.0
Copra,2093,650.0,5.0,55.0,32.5
Coriander,8280,298.0,12.37,17.77,54.99
Coriander seeds,8280,340.0,20.0,20.0,20.0
Cotton fabric,9982,401,0.0,0.32,99.6
Cotton lint,9113,401,0.0,0.32,99.6
Cotton linters,2602,401,0.0,0.32,99.6
Cotton seeds,1332,401,0.0,0.32,99.6
Cottonseed,4029,884,0.0,100,0.0
Cottonseed oil,3957,884,0.0,100,0.0
"Cowpeas, dry",6906,29.0,4.1,0.25,4.82
Cranberries,276,275.0,0.0,0.0,72.5
Cucumbers,353,10.0,1.01,0.0,2.02
Currants,499,275.0,5.0,0.0,75.0
Dates,2277,300.0,2.5,0.0,75.0
Egg,3265,159.0,11.36,11.36,2.27
Eggplants,362,162,4.26,13.2,9.56
Fennel,8280,62.0,1.42,3.22,8.32
Figs,3350,275.0,2.5,0.0,65.0
Flax fibre,3783,534,18.3,42.2,28.9
Fructose,1782,279.0,0.0,0.0,76.1
Garlic,589,167.0,0.0,0.0,33.33
Garlic powder,2265,500.0,0.0,0.0,100.0
Gherkins,353,19.0,0.59,0.14,3.71
Ginger,1657,125.0,0.0,12.5,75.0
Goat meat,5521,109.0,20.6,2.31,0.0
Gooseberries,526,44.0,0.88,0.58,10.18
Gourds,336,20.0,1.2,0.2,4.35
Grapefruit,506,42.0,0.77,0.0,10.81
Grapefruit juice,675,42.0,1.27,0.0,10.13
Grapes,608,79.0,0.0,0.0,17.54
Green beans,547,29.0,2.35,0.0,7.06
Guavas,1800,379.0,5.48,18.5,47.76
"Hazelnuts, shelled or peeled",10515,628,15.0,60.8,16.7
"Hazelnuts, with shell",5258,628,15.0,60.8,16.7
Hemp fibre,2447,553.0,31.56,48.75,8.67
Hempseed,3685,283.0,11.67,21.67,18.33
Hop cones,4065,128,0.4,0.0,32.6
Hop extract,16259,288.0,0.06,0.06,12.65
Jute,2605,34.0,4.65,0.25,5.8
Kiwi fruit,514,370.0,0.0,0.0,92.0
Kola nuts,23391,0,17.4423,38.86,36.2887
Lamb,10412,264,27.4,16.3,0.0
Leather from beef cattle,17093,371,0.1,3.0,85.8
Lemons,642,26.0,0.0,0.0,8.62
Lentils,5874,219.0,25.0,0.0,59.38
Lettuce,237,14.0,1.13,0.14,2.92
Limes,642,30.0,0.0,0.0,10.45
Linseed,5168,821.0,20.59,41.18,0.0
Linseed oil,9415,821.0,20.59,41.18,0.0
Maize,1222,364.0,8.75,5.09,73.89
Maize flour,1253,364.0,8.75,5.09,73.89
Maize groats and meal,1081,112,3.22,3.34,19.0
Maize oil,2575,364.0,8.75,5.09,73.89
Maize starch,1671,239.0,3.34,2.65,50.47
"Maize, green",700,364.0,8.75,5.09,73.89
"Malt, not roasted",1950,66.0,3.19,2.05,8.64
"Malt, roasted",2437,66.0,3.19,2.05,8.64
Mandarins,748,47.0,1.35,0.0,12.16
Mangoes,1800,57.0,0.71,0.36,15.0
Mangosteens,1800,73.0,0.41,0.58,17.91
Manila fibre,20388,322.0,8.47,1.69,77.97
Melon seed,5184,44.0,1.78,1.26,7.56
Milk,1020,55.0,3.39,2.12,5.08
Milk powder,4745,375.0,33.33,0.0,54.17
Millet,4478,118,3.5,1.0,23.6
Mustard seeds,2809,500.0,0.0,50.0,0.0
Natural rubber,13748,180.0,16.3,11.15,3.65
Nectarines,910,43.0,0.71,0.36,10.71
Nutmeg,34319,884.0,0.0,100.0,0.0
Oat groats and meal,2536,112,3.22,3.34,19.0
Oats,1788,375.0,12.5,6.25,67.5
"Oats, rolled or flaked grains",2416,0,13.49645,5.89,68.65755
Oil palm,1098,884.0,0.0,100.0,0.0
Okra,576,44.0,3.0,0.0,8.0
Olive oil,14726,900,0.0,100,0.0
"Olive oil, virgin",14431,0,0,0,0
Olives,3015,133.0,0.0,13.33,6.67
"Onions, dry",345,322.0,9.0,3.0,67.64
"Onions, green",272,32.0,1.83,0.19,7.34
Orange juice,1018,46.0,0.83,0.0,10.83
Oranges,560,49.0,0.65,0.15,12.34
Palm kernel oil,5401,862.0,0.0,100.0,0.0
Palm nuts and kernels,2868,862.0,0.0,100.0,0.0
Palm oil,4971,884.0,0.0,100.0,0.0
Papayas,460,43.0,0.47,0.26,10.82
"Pasta, dry",1849,371.0,13.04,1.51,74.67
Peaches,910,238.0,2.5,0.0,62.5
Peanut oil,7529,900,0.0,100,0.0
Peanuts in shell,2782,508,6.5,28.6,56.2
Peanuts shelled,3974,508,6.5,28.6,56.2
Pears,922,288.0,2.5,0.0,67.5
"Peas, dry",1979,342.0,12.29,1.33,75.87
"Peas, green",595,81.0,5.42,0.4,14.4
Peppermint,288,375.0,0,0.0,100.0
Pigeon peas,5494,110.0,8.0,0,16.0
Pineapple juice,1273,50.0,0.0,0.0,12.5
Pineapples,255,350.0,0.0,0.0,87.5
Pistachios,11363,536.0,17.86,42.86,28.57
Plantains,1602,531,2.28,29.6,63.8
Plums,2180,55.0,0.52,0.23,13.5
Poppy seeds,2188,533.0,16.67,43.33,26.67
Pork,5988,118.0,21.18,4.12,1.18
Potato flakes,1044,354.0,8.34,0.41,81.17
Potato flour and meal,1436,345.0,10.5,1.6,74.52
Potato starch,1512,300.0,0.0,0.0,80.0
Potatoes,287,74.0,2.7,0.0,16.89
"Potatoes, tapioca",1436,358.0,0.19,0.02,88.69
Pumpkins,336,385.0,0.0,0.0,94.87
Raisin,2433,288.0,10.17,4.24,52.54
Rape oil,4301,0,0,0,0
Rapeseed,2271,900.0,0.0,100.0,0.0
Raspberries,413,50.0,1.43,0.0,12.14
Rice flour,2628,346.0,7.69,0.0,80.77
Rice groats and meal,2230,112,3.22,3.34,19.0
"Rice, broken",2497,311.0,13.33,1.11,66.67
"Rice, brown",2172,162,6.52,4.49,24.2
"Rice, paddy",1673,378.0,13.33,0.0,77.78
Rye,1544,256.0,6.98,2.33,48.84
Rye flour,1930,300.0,10.0,3.33,73.33
Safflower seeds,7221,517.0,16.18,38.45,34.29
Sesame oil,21793,884,0.0,100,0.0
Sesame seed,9371,633.0,20.0,566.67,13.33
Sloes,2180,66.0,0.03,0.01,2.22
Sorghum,3048,329.0,10.62,3.46,72.09
Sour cherries,1411,448.0,0.0,0.0,110.34
Soy milk,3763,53.0,3.41,2.05,5.22
Soy sauce,613,53.0,8.14,0.57,4.93
Soybean flour and meals,2523,345.0,10.5,1.6,74.52
Soybean oil,4190,900,0.0,100,0.0
Soybean paste,572,208.0,8.33,8.33,25.0
Soybeans,2145,0,0,0,0
Spinach,292,24.0,2.35,0.0,3.53
Squash,336,49.0,0.65,2.8,6.26
Strawberries,347,35.0,0.78,0.39,7.84
Sugar beet,132,65.0,0.8,0.08,16.3
"Sugar, raw (beet)",865,43.0,1.61,0.17,9.56
"Sugar, raw (cane)",1666,74.0,0.0,0.0,20.2
"Sugar, refined",1782,319.0,0.0,0.0,83.9
Sugarcane,210,43.0,0.29,0.0,10.86
Sunflower seed oil,6792,592.0,20.06,51.3,22.89
Sunflower seeds,3366,283.0,11.67,25.0,10.0
Sweet potatoes,383,85.0,1.54,0.0,20.0
Tangerines,748,53.0,0.81,0.31,13.3
Taro,606,498,2.3,24.9,68.1
"Tea, green and black",8856,45.0,0.0,0.22,10.8
Tobacco,2925,337.0,6.52,11.96,53.26
Tofu,2523,0,0,0,0
Tomato juice,267,21.0,0.83,0.0,4.58
"Tomato juice, concentrated",1069,0,0.859375,0.2875,4.320625
Tomato ketchup,534,118.0,0.0,0.0,23.53
Tomato paste,855,91.0,3.03,0.0,21.21
Tomato puree,713,40.0,1.59,0.0,7.94
"Tomato, dried",4276,258,14.1,2.97,55.8
Tomatoes,214,22.0,0.88,0.0,3.51
"Tomatoes, peeled",267,10.0,0.59,0.16,2.16
Turnips,195,21.0,2.46,0.19,3.39
Vanilla beans,126505,333.0,0.0,0.0,33.33
"Walnuts, shelled or peeled",9280,884.0,0.0,100.0,0.0
"Walnuts, with shell",4918,884.0,0.0,100.0,0.0
Watermelons,235,30.0,0.61,0.15,7.55
Wheat,1827,274,10.7,4.53,47.5
Wheat bran,2036,216,15.6,4.25,64.5
Wheat flour,1849,467.0,6.67,20.0,66.67
Wheat gluten,4189,370.0,75.16,1.85,13.79
Wheat starch,1436,239.0,3.34,2.65,50.47
Wine (grape),869,134,0.5,0.0,5.0
Yams,343,90.0,0.6,0.0,21.69
